VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,tip_rate,high_tip
2,2023-01-01 00:57:33,2023-01-01 01:00:58,1.0,0.58,1.0,N,262,263,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0,6,0.3724137931034483,1
2,2023-01-01 00:14:54,2023-01-01 00:30:01,1.0,3.28,1.0,N,161,238,1,17.7,1.0,0.5,5.68,0.0,1.0,28.38,2.5,0.0,0,6,0.32090395480225986,1
2,2023-01-01 00:32:51,2023-01-01 00:39:01,1.0,1.21,1.0,N,238,75,1,8.6,1.0,0.5,2.22,0.0,1.0,13.32,0.0,0.0,0,6,0.258139534883721,1
2,2023-01-01 00:43:42,2023-01-01 00:47:38,1.0,1.06,1.0,N,263,141,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0,0,6,0.3538461538461538,1
2,2023-01-01 00:57:38,2023-01-01 01:02:42,1.0,0.8,1.0,N,229,162,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,0,6,0.33888888888888885,1
1,2023-01-01 00:09:10,2023-01-01 00:22:53,2.0,1.6,1.0,N,90,246,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,0,6,0.2809917355371901,1
1,2023-01-01 00:25:58,2023-01-01 00:36:50,1.0,2.0,1.0,N,48,90,1,11.4,3.5,0.5,3.25,0.0,1.0,19.65,2.5,0.0,0,6,0.2850877192982456,1
1,2023-01-01 00:38:41,2023-01-01 00:45:38,2.0,0.8,1.0,N,234,107,2,7.2,3.5,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0,6,0.0,0
1,2023-01-01 00:49:24,2023-01-01 01:11:38,2.0,4.6,1.0,N,234,262,1,22.6,3.5,0.5,5.5,0.0,1.0,33.1,2.5,0.0,0,6,0.24336283185840707,0
2,2023-01-01 00:01:55,2023-01-01 00:36:32,2.0,21.4,2.0,N,132,211,1,70.0,0.0,0.5,11.29,0.0,1.0,86.54,2.5,1.25,0,6,0.16128571428571428,0
2,2023-01-01 00:42:10,2023-01-01 00:59:48,1.0,4.04,1.0,N,249,141,1,20.5,1.0,0.5,3.0,0.0,1.0,28.5,2.5,0.0,0,6,0.14634146341463414,0
2,2023-01-01 00:28:58,2023-01-01 00:49:15,1.0,3.76,1.0,N,166,237,2,22.6,1.0,0.5,0.0,0.0,1.0,27.6,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:55:56,2023-01-01 01:02:36,3.0,1.03,1.0,N,163,162,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0,0,6,0.2531645569620253,1
2,2023-01-01 00:11:32,2023-01-01 00:23:39,1.0,1.82,1.0,N,161,107,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0,6,0.278125,1
2,2023-01-01 00:39:40,2023-01-01 00:47:57,1.0,1.78,1.0,N,170,224,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0,6,0.29345794392523367,1
2,2023-01-01 00:49:39,2023-01-01 00:55:08,1.0,1.24,1.0,N,224,79,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,0,6,0.3265822784810127,1
2,2023-01-01 00:58:25,2023-01-01 01:12:26,1.0,3.86,1.0,N,79,141,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0,0,6,0.25434782608695655,1
1,2023-01-01 00:35:54,2023-01-01 01:01:56,2.0,6.2,1.0,N,140,83,2,28.2,3.5,0.5,0.0,0.0,1.0,33.2,2.5,0.0,0,6,0.0,0
1,2023-01-01 00:22:12,2023-01-01 00:29:13,2.0,1.3,1.0,N,114,234,1,9.3,3.5,0.5,3.55,0.0,1.0,17.85,2.5,0.0,0,6,0.3817204301075268,1
1,2023-01-01 00:31:13,2023-01-01 00:41:42,4.0,1.5,1.0,N,107,114,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,0,6,0.2809917355371901,1
1,2023-01-01 00:46:21,2023-01-01 00:55:35,1.0,1.5,1.0,N,114,90,1,10.7,3.5,0.5,3.0,0.0,1.0,18.7,2.5,0.0,0,6,0.28037383177570097,1
1,2023-01-01 00:58:57,2023-01-01 01:36:11,1.0,4.3,1.0,N,68,237,2,33.8,3.5,0.5,0.0,0.0,1.0,38.8,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:20:01,2023-01-01 00:45:35,1.0,7.57,1.0,N,164,82,2,34.5,1.0,0.5,0.0,6.55,1.0,46.05,2.5,0.0,0,6,0.0,0
1,2023-01-01 00:45:24,2023-01-01 01:07:35,3.0,3.7,1.0,N,231,161,2,21.2,3.5,0.5,0.0,0.0,1.0,26.2,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:23:05,2023-01-01 00:28:59,1.0,1.45,1.0,N,263,141,1,8.6,1.0,0.5,2.0,0.0,1.0,15.6,2.5,0.0,0,6,0.23255813953488372,0
2,2023-01-01 00:49:10,2023-01-01 01:00:58,1.0,2.63,1.0,N,236,161,1,14.9,1.0,0.5,0.05,0.0,1.0,19.95,2.5,0.0,0,6,0.003355704697986577,0
2,2023-01-01 00:20:35,2023-01-01 00:41:01,1.0,2.33,1.0,N,161,234,2,19.1,1.0,0.5,0.0,0.0,1.0,24.1,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:47:19,2023-01-01 00:54:20,1.0,1.92,1.0,N,229,107,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0,6,0.29345794392523367,1
2,2023-01-01 00:59:31,2023-01-01 01:07:10,1.0,1.45,1.0,N,79,170,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0,0,6,0.3075268817204301,1
2,2023-01-01 00:14:32,2023-01-01 00:22:50,1.0,0.97,1.0,N,79,114,2,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:11:56,2023-01-01 00:44:16,2.0,5.43,1.0,N,88,50,1,33.8,1.0,0.5,6.0,0.0,1.0,44.8,2.5,0.0,0,6,0.1775147928994083,0
2,2023-01-01 00:50:49,2023-01-01 01:10:55,2.0,2.92,1.0,N,48,90,1,19.8,1.0,0.5,2.0,0.0,1.0,26.8,2.5,0.0,0,6,0.10101010101010101,0
2,2023-01-01 00:02:49,2023-01-01 00:32:19,2.0,14.53,1.0,N,132,198,1,57.6,1.0,0.5,12.27,0.0,1.0,73.62,0.0,1.25,0,6,0.21302083333333333,0
1,2023-01-01 00:49:11,2023-01-01 01:12:56,1.0,5.7,1.0,N,164,255,1,26.8,3.5,0.5,6.35,0.0,1.0,38.15,2.5,0.0,0,6,0.23694029850746268,0
2,2023-01-01 00:26:07,2023-01-01 00:58:34,1.0,19.19,1.0,N,132,97,1,73.0,1.0,0.5,15.35,0.0,1.0,92.1,0.0,1.25,0,6,0.21027397260273972,0
1,2023-01-01 00:05:14,2023-01-01 00:08:27,1.0,0.5,1.0,N,263,263,1,5.1,3.5,0.5,3.0,0.0,1.0,13.1,2.5,0.0,0,6,0.5882352941176471,1
1,2023-01-01 00:52:33,2023-01-01 01:06:15,1.0,1.8,1.0,N,186,50,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,0,6,0.2809917355371901,1
2,2023-01-01 00:29:47,2023-01-01 00:38:53,3.0,1.47,1.0,N,79,249,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:32:31,2023-01-01 00:45:27,4.0,3.12,1.0,N,140,151,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0,0,6,0.26134969325153373,1
2,2023-01-01 00:47:37,2023-01-01 01:04:33,2.0,3.86,1.0,N,151,229,1,19.8,1.0,0.5,6.2,0.0,1.0,31.0,2.5,0.0,0,6,0.31313131313131315,1
2,2023-01-01 00:24:28,2023-01-01 00:36:19,1.0,1.95,1.0,N,48,163,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,0,6,0.2740740740740741,1
2,2023-01-01 00:37:06,2023-01-01 00:43:46,1.0,1.36,1.0,N,163,233,2,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0,0,6,0.0,0
2,2023-01-01 00:56:34,2023-01-01 01:02:44,1.0,1.01,1.0,N,170,107,1,7.9,1.0,0.5,1.0,0.0,1.0,13.9,2.5,0.0,0,6,0.12658227848101264,0
2,2023-01-01 00:46:17,2023-01-01 01:01:30,2.0,3.15,1.0,N,79,246,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,0,6,0.25649717514124293,1
2,2023-01-01 00:51:35,2023-01-01 01:01:42,1.0,1.42,1.0,N,239,48,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,0,6,0.287719298245614,1
